loc_code,general_hh_apt_inc,foreign_hh_apt_inc,demolished_apt_inc,natural_demand,internal_invest_demand,avg_trade_price_y3,multi_homeowner_inc_y3,local_buyer_ratio_y3,internal_invest_demand_3yr_wgt_y3,internal_invest_demand_y1,internal_invest_demand_y2,external_invest_demand,absorbed_supply_y3,nonlocal_buyer_ratio_y3,external_invest_demand_3yr_wgt_y3,external_invest_demand_y1,external_invest_demand_y2,total_invest_demand,new_demand_volume,own_hh_apt_move_demand,py_bprice_y3,bprice_threshold_ratio,income_quintile,own_hh_ratio,own_move_plan_yn,rent_hh_apt_move_demand,rent_hh_ratio,rent_move_plan_yn,nonapt_move_demand,nonapt_hh_ratio,nonapt_move_plan_yn,nonapt_price_adj,total_move_demand,single_and_foreign_hh_inc,single_foreign_own_occ_ratio,multi_hh_and_demolished_hh_inc,multi_demolished_own_occ_ratio,hh_increase_demand,unsold_level_ratio,unsold_level_adj_ratio,total_invest_demand_eff,effective_demand,supply_volume_3y,effective_demand_to_supply,supply_demand_grade,base_date
46900,8,0,0,9,0,590,50,0.83,0.5,0,0,,0,0.16,0.5,,,,,0,0,0.55,0,0.74,0.05,0,0.26,0.2,0,10.56,0.4,0.6,0,14,0.3,8,0.7,0,0,1,,,0,,,202402
46860,5,0,0,5,5,637,90,0.68,0.5,0,-3,0,-3,0.31,0.5,5,-5,5,10,12,1030,0.55,0.84,0.74,0.05,11,0.26,0.2,74,12.92,0.4,0.6,98,8,0.3,5,0.7,5,0.09,0.4,2,106,0,0,S,202402
46820,20,2,0,22,26,579,308,0.78,0.5,0,7,0,13,0.21,0.5,1,0,27,49,46,990,0.55,0.86,0.74,0.05,14,0.26,0.2,65,4.5,0.4,0.6,125,54,0.3,20,0.7,26,0,1,27,179,98,0.54,A,202402
46790,158,3,0,161,9,610,137,0.61,0.5,0,2,4,-51,0.38,0.5,19,0,13,175,55,1019,0.55,0.63,0.74,0.05,50,0.26,0.2,31,1.23,0.4,0.6,136,180,0.3,158,0.7,105,0.01,0.6,8,250,121,0.48,S,202402
52000,5256,145,480,5881,210,709,4054,0.64,0.5,-19,-5,416,5047,0.35,0.5,505,302,626,6508,1941,1424,0.55,0.67,0.74,0.05,1532,0.26,0.2,632,0.75,0.4,0.6,4105,6428,0.3,5736,0.7,4014,0,0.8,501,8621,4287,0.49,S,202402
52790,6,2,0,8,19,652,254,0.8,0.5,0,0,5,0,0.19,0.5,10,7,25,34,20,1119,0.55,0.8,0.74,0.05,13,0.26,0.2,45,5.58,0.4,0.6,80,35,0.3,6,0.7,12,0,1,25,118,68,0.58,A,202402
52130,1013,44,176,1234,26,532,481,0.71,0.5,-10,12,86,844,0.28,0.5,120,85,113,1347,445,1181,0.55,0.76,0.74,0.05,299,0.26,0.2,78,0.43,0.4,0.6,823,1288,0.3,1189,0.7,938,0.01,0.6,67,1829,640,0.34,S,202402
52210,107,6,0,113,11,497,220,0.68,0.5,2,-1,27,723,0.31,0.5,26,4,39,152,55,1098,0.55,0.76,0.74,0.05,29,0.26,0.2,44,2.18,0.4,0.6,129,148,0.3,107,0.7,91,0,0.8,31,252,216,0.85,A,202402
52190,102,2,0,105,16,573,195,0.76,0.5,3,6,1,-115,0.23,0.5,11,0,17,123,59,1098,0.55,0.8,0.74,0.05,15,0.26,0.2,29,1.66,0.4,0.6,104,146,0.3,102,0.7,92,0,0.8,13,211,38,0.18,S,202402
52730,16,1,0,18,3,485,54,0.83,0.5,0,0,0,0,0.16,0.5,0,2,4,22,3,925,0.55,0.91,0.74,0.05,0,0.26,0.2,5,6.09,0.4,0.6,9,22,0.3,16,0.7,16,0,1,4,31,14,0.44,S,202402
